Program Name,Schedule Name,Schedule Type,Source,Start Time,Duration,End Time
2 - RWC 2011 Classic Match,Promo-6 -52s.mp4,FILE,D:\Promos\Promo-6 -52s.mp4,58:19.2,00:52.3,59:11.4
2 - RWC 2011 Classic Match,SCTE35,EVENT,SCTE35,58:19.2,00:00.0,58:19.2
2 - RWC 2011 Classic Match,Promo-9 -15s.mp4,FILE,D:\Promos\Promo-9 -15s.mp4,59:11.4,00:15.0,59:26.5
2 - RWC 2011 Classic Match,Promo-19 -30s.mp4,FILE,D:\Promos\Promo-19 -30s.mp4,59:26.5,00:28.5,59:55.0
2 - RWC 2011 Classic Match,STARZPLAY SPORTS RWC IDENT.mp4,FILE,D:\Channel Idents\STARZPLAY SPORTS RWC IDENT.mp4,59:55.0,00:05.0,00:00.0
3 - RWC 2011 Classic Match,3 - RWC 2011 Classic Match.mp4,FILE,D:\RugbyWC\3 - RWC 2011 Classic Match.mp4,00:00.0,12:55.0,12:55.0
3 - RWC 2011 Classic Match,STARZPLAY SPORTS RWC IDENT.mp4,FILE,D:\Channel Idents\STARZPLAY SPORTS RWC IDENT.mp4,12:55.0,00:05.0,13:00.0
3 - RWC 2011 Classic Match,Promo-1 -15s.mp4,FILE,D:\Promos\Promo-1 -15s.mp4,13:00.0,00:15.0,13:15.0
3 - RWC 2011 Classic Match,SCTE35,EVENT,SCTE35,13:00.0,00:00.0,13:00.0
3 - RWC 2011 Classic Match,Promo-11-15s.mp4,FILE,D:\Promos\Promo-11-15s.mp4,13:15.0,00:15.0,13:30.1
3 - RWC 2011 Classic Match,Promo-13 -60s.mp4,FILE,D:\Promos\Promo-13 -60s.mp4,13:30.1,01:00.0,14:30.1
3 - RWC 2011 Classic Match,Promo-16 -30s.mp4,FILE,D:\Promos\Promo-16 -30s.mp4,14:30.1,00:30.0,15:00.1
3 - RWC 2011 Classic Match,STARZPLAY SPORTS RWC IDENT.mp4,FILE,D:\Channel Idents\STARZPLAY SPORTS RWC IDENT.mp4,15:00.1,00:05.0,15:05.1
3 - RWC 2011 Classic Match,3 - RWC 2011 Classic Match.mp4,FILE,D:\RugbyWC\3 - RWC 2011 Classic Match.mp4,15:05.1,13:08.0,28:13.2
3 - RWC 2011 Classic Match,STARZPLAY SPORTS RWC IDENT.mp4,FILE,D:\Channel Idents\STARZPLAY SPORTS RWC IDENT.mp4,28:13.2,00:05.0,28:18.2
